InChIKey	Log2FC	Label
CGQCWMIAEPEHNQ	2.271756493	vanillylmandelic acid
ULDHMXUKGWMISQ	-0.422926186	l-carvone
DHCDFWKWKRSZHF	-0.320599149	thiosulfuric acid
PLWROONZUDKYKG	-1.500208914	arachidonyl trifluoromethyl ketone
DZUXGQBLFALXCR	-1.821151805	pgf1.alpha.
LVHBHZANLOWSRM	-1.333992882	butanedioic acid, methylene-
OVRNDRQMDRJTHS	-3.953183893	n-acetyl-d-glucosamine
AZQWKYJCGOJGHM	0.817786286	quinone
MTHSVFCYNBDYFN	-2.875485541	ethanol, 2,2'-oxybis-
JMSVCTWVEWCHDZ	2.271912119	syringic acid
LKDRXBCSQODPBY	-2.878085981	d-tagatose
QVDSEJDULKLHCG	0.065396018	psilocybin
UZKQTCBAMSWPJD	1.616013194	trans-zeatin
XHCADAYNFIFUHF	-0.064299168	esculin
WZZLDXDUQPOXNW	-0.210230376	propamocarb
NUCLJNSWZCHRKL	-0.379103368	allantoic acid
PFTAWBLQPZVEMU	1.110769458	(.+/-.)-catechin
IWYDHOAUDWTVEP	3.029346347	r-(-)-mandelic acid
HDFGOPSGAURCEO	-3.439886143	n-ethylmaleimide
PRFXRIUZNKLRHM	-1.589170939	pgb2
WHSXTWFYRGOBGO	3.029345664	3-cresotinic acid
HBMCQTHGYMTCOF	3.029345281	4-acetoxyphenol
JINJZWSZQKHCIP	2.407139015	n-acetylneuraminic acid, 2,3-dehydro-2-deoxy-
IBGBGRVKPALMCQ	0.063647214	3,4-dihydroxybenzaldehyde
WHUUTDBJXJRKMK	-0.655259056	l-glutamic acid
CCVYRRGZDBSHFU	3.029347129	2-hydroxyphenylacetic acid
YLKFDHTUAUWZPQ	-0.235085159	n-nitrosodi-n-propylamine
AUNGANRZJHBGPY	1.819514862	(-)-riboflavin
WVDDGKGOMKODPV	0.04435099	benzyl alcohol
XPFRXWCVYUEORT	0.573311998	phenacemide
LLEMOWNGBBNAJR	-0.172405417	2-hydroxybiphenyl
UFHLMYOGRXOCSL	-0.664137374	isoprothiolane
QAOWNCQODCNURD	0.644575679	sulfuric acid
HBPDKDSFLXWOAE	1.599304005	tebuthiuron
RADKZDMFGJYCBB	2.327386817	pyridoxal
RZZPDXZPRHQOCG	-0.357763757	cytidine 5'-diphosphocholine
OEYIOHPDSNJKLS	-1.547418141	choline cation
WWNNZCOKKKDOPX	-1.424969843	trigonelline
CKLJMWTZIZZHCS	-0.694029747	l-aspartic acid
NYHBQMYGNKIUIF	1.410540645	guanosine
SECXISVLQFMRJM	1.285931167	n-methyl-2-pyrrolidinone
KRKNYBCHXYNGOX	-0.117245532	citric acid
SOPPBXUYQGUQHE	-2.168961868	anatabine
UFAHZIUFPNSHSL	-1.311684633	(.+/-.)-propionylcarnitine
ATHGHQPFGPMSJY	1.588032092	spermidine
UYPYRKYUKCHHIB	-1.756670538	trimethylamine n-oxide
RHGKLRLOHDJJDR	0.716540917	l-citrulline
FZWGECJQACGGTI	0.255470263	7-methylguanine
WRMRXPASUROZGT	-2.092605792	monoethylglycylxylidide (megx)
PAFZNILMFXTMIY	-6.87026341	cyclohexylammonium
KLZGKIDSEJWEDW	2.158094069	n-acetylputrescine
YXIWHUQXZSMYRE	0.061435887	2-mercaptobenzothiazole
LRFVTYWOQMYALW	2.373426582	xanthine
KZSNJWFQEVHDMF	-0.858263457	l-valine
MCJGNVYPOGVAJF	-2.350340915	oxyquinoline
UFFBMTHBGFGIHF	-5.06551557	2,6-xylidine
UDMBCSSLTHHNCD	-2.89991721	adenosine 5'-monophosphate
PLIKAWJENQZMHA	-3.622101181	phenol, 4-amino-
LNQVTSROQXJCDD	-2.899882309	adenosine 3'-monophosphate
HNDVDQJCIGZPNO	-0.036732887	l-histidine
JVKYZPBMZPJNAJ	-1.518309864	solanidine
XOAAWQZATWQOTB	-1.508384263	taurine
MTCFGRXMJLQNBG	0.220973819	l-serine
KKEYFWRCBNTPAC	2.842508504	terephthalic acid
HXEACLLIILLPRG	1.018748624	l-pipecolic acid
JJMDCOVWQOJGCB	0.738654071	5-aminovaleric acid
FDGQSTZJBFJUBT	-1.184940709	hypoxanthine
KWIUHFFTVRNATP	-3.509711928	betaine
ZJUKTBDSGOFHSH	-0.715572175	s-(5'-adenosyl)-l-homocysteine
QUNWUDVFRNGTCO	-5.134847901	paraxanthine
XXOYNJXVWVNOOJ	-2.668564918	fenuron
AHLPHDHHMVZTML	0.096244625	dl-ornithine
BPMFZUMJYQTVII	-1.48450254	guanidineacetic acid
YDGMGEXADBMOMJ	-0.344934732	ng,ng-dimethyl-l-arginine
JYGFTBXVXVMTGB	4.183672089	oxindole
DFPAKSUCGFBDDF	-3.223304334	niacinamide
VHRUMKCAEVRUBK	-2.593201035	15-deoxy-.delta.12,14-prostaglandin j2
KXDAEFPNCMNJSK	-3.310370329	benzamide
WNYADZVDBIBLJJ	-0.455404928	n-nitrosopyrrolidine
DTUQWGWMVIHBKE	0.909758311	phenylacetaldehyde
RGHMISIYKIHAJW	2.8426082	3,4-dihydroxymandelic acid
ZFRKQXVRDFCRJG	-1.69437336	3-methylindole
SEOVTRFCIGRIMH	3.246726724	3-indoleacetic acid
LDHMAVIPBRSVRG	0.175300623	1-methylnicotinamide cation
WQXNXVUDBPYKBA	-1.55052585	ectoine
FLKPEMZONWLCSK	1.410686633	diethyl phthalate
ONIBWKKTOPOVIA	0.10047996	l-proline
OPTASPLRGRRNAP	2.149126521	cytosine
OUYCCCASQSFEME	0.974195143	l-tyrosine
DDRJAANPRJIHGJ	-0.401130127	creatinine
MTXSIJUGVMTTMU	-0.733383901	anabasine
NHZMQXZHNVQTQA	-0.79475787	pyridoxamine
WBYWAXJHAXSJNI	-0.4611331	trans-cinnamic acid
KLIDCXVFHGNTTM	3.403252273	2,6-dimethoxyphenol
ZDXPYRJPNDTMRX	-0.350317391	l-glutamine
MWOOGOJBHIARFG	3.066739064	vanillin
GTZCVFVGUGFEME	-1.021937343	aconitic acid
FUZZWVXGSFPDMH	-4.050600819	hexanoic acid
BJEPYKJPYRNKOW	0.159985834	l-malic acid
UXFQFBNBSPQBJW	0.283590573	2-amino-2-methyl-1,3-propanediol
YGSDEFSMJLZEOE	0.063646657	salicylic acid
LRQKBLKVPFOOQJ	0.467768314	l-norleucine
NILQLFBWTXNUOE	1.583774527	cycloleucine
SAOKZLXYCUGLFA	4.658187888	hexanedioic acid, bis(2-ethylhexyl) ester
UCMIRNVEIXFBKS	0.579761254	.beta.-alanine
OTCCIMWXFLJLIA	-0.99091049	n-acetylaspartate
GLNDAGDHSLMOKX	2.137388157	7-amino-4-methylcoumarin
WIONIXOBNMDJFJ	4.890547257	dictamnine
RSTKLPZEZYGQPY	2.605124048	indole-3-pyruvic acid
COLNVLDHVKWLRT	1.121497438	dl-phenylalanine
GMSNIKWWOQHZGF	-1.947476899	3-methylxanthine
KDYFGRWQOYBRFD	3.538327455	succinic acid
LYRFLYHAGKPMFH	3.786308011	stearamide
OUDFNZMQXZILJD	2.384916049	5-methyl-2-furaldehyde
ODKSFYDXXFIFQN	0.373389736	l-arginine
SXKNCCSPZDCRFD	-1.819585879	betaine aldehyde cation
FMPNFDSPHNUFOS	0.621079008	himbacine
QIAFMBKCNZACKA	-4.846794522	hippuric acid
ROHFNLRQFUQHCH	0.010847954	l-leucine
ZGXJTSGNIOSYLO	0.797658289	5-aminolevulinic acid
SNICXCGAKADSCV	-2.117961426	nicotine
NIPZZXUFJPQHNH	0.408764199	pyrazine-2-carboxylic acid
VXPBDCBTMSKCKZ	0.427409112	15-ketoprostaglandin e1
YGPSJZOEDVAXAB	-1.107591082	l-kynurenine
XNGIFLGASWRNHJ	2.842560683	1,2-benzenedicarboxylic acid
FAQJJMHZNSSFSM	2.632047765	phenylglyoxylic acid
RFMMMVDNIPUKGG	1.49702208	n-acetyl-l-glutamic acid
BTJIUGUIPKRLHP	-0.157587376	4-nitrophenol
QVWAEZJXDYOKEH	5.397245564	dihydro-3-coumaric acid
RFSUNEUAIZKAJO	-0.990747693	d-fructose
XGILAAMKEQUXLS	0.344672954	dl-indole-3-lactic acid
SQVRNKJHWKZAKO	1.699598553	n-acetyl-a-neuraminic acid
XGUHPTGEXRHMQQ	0.507552262	19-hydroxyandrost-4-ene-3,17-dione
JVTAAEKCZFNVCJ	0.970452732	d-lactic acid
XVPBINOPNYFXID	1.056026872	oxymatrine
ZBSGKPYXQINNGF	-0.477308383	nicotinuric acid
WWUZIQQURGPMPG	1.096214273	d-erythro-c18-sphingosine
VHRGRCVQAFMJIZ	1.011173626	1,5-pentanediamine
QWVGKYWNOKOFNN	3.072289294	o-cresol
DZGWFCGJZKJUFP	4.115704484	phenol, 4-(2-aminoethyl)-
VZCYOOQTPOCHFL	0.792997079	maleic acid
UGQMRVRMYYASKQ	-0.609028907	inosine
FSYKKLYZXJSNPZ	-1.264585077	sarcosine
NGFMICBWJRZIBI	-1.442405233	salicin
DUUGKQCEGZLZNO	-0.220544556	1h-indole-3-acetic acid, 5-hydroxy-
CDAWCLOXVUBKRW	-3.622101461	phenol, o-amino-
QIVBCDIJIAJPQS	0.408295372	d-tryptophan
